unique_id,phase,ietitle,iecode,TTL,TTL_dime,i2i_type,prev_i2i,i2i_call,Unit,region,country,fcs_country,ida_country,income_country,wb_network,program,GP,theme,CCSA,Gender,sectorFCS,cn_yes,CN_rev_date,ie_start_date,ie_end_date,status,status_followup_no,WBG_proj_associated,ProjectId,WBG_proj_name,WBG_proj_TTL_name
1,After IE results are available for discussion,Sunaula Hazar Din Community Action for Nutrition IE,P143931,Susumu Yoshida,No,Non-i2i,No,,,SAR,Nepal,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population","Social, Urban, Rural & Resilience",Gender,Yes,No,No,10/4/2013,12/1/2012,3/30/2018,Completed: there is a reviewed report on final results,,Yes,P125359,community nutrition project,Manav Bhattarai
2,After IE results are available for discussion,"Impact Evaluation of the ""Entreprenant Status"" in Benin",P153242,"Massimiliano Santini, David McKenzie,  David McKenzie",No,i2i,,Ongoing,,AFR,Benin,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment","Finance, Competitiveness & Innovation",Jobs,No,No,No,12/3/2012,4/16/2013,1/31/2017,Working Paper: there is a finished working paper,,Yes,P104881,1. Competitiveness and Integrated Growth Opportunity Project2. IFC Benin Investment Climate project,1. Magueye Dia; 2. Hamidou Sorgo
3,Before CN Review,A Property Tax Experiment in Colombian Municipalities,P156608,Jürgen Rene Blum,No,Non-i2i,,Governance,,LCR,Colombia,No,No,Upper middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P123879,Subnational Institutional Strengthening,Pedro Arizti
4,Before CN Review,A Randomized Controlled Trial of High-Speed Internet Access in Tunisia,P158841,Eric Mvukiyehe,Yes,Non-i2i,,Transport & ICTs,,MNA,Tunisia,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEConnect;Digital Development,Digital Development,,Jobs,No,No,,,,,Preparation for CN: up to CN review,,Yes,P152173,Accelerating High-Speed Internet Access in Tunisia,Michel Rogy
5,After IE results are available for discussion,Accelerated Food Security Project,P118913,Xavier Gine,No,Non-i2i,No,,,AFR,Tanzania,No,Yes,Lower middle income,Human Development,Rural Development,Agriculture,"Social, Urban, Rural & Resilience",Not Applicable,No,No,No,1/31/2014,1/4/2009,1/4/2014,Completed: there is a reviewed report on final results,,Yes,P114291,Tanzania - Accelerated Food Security Project,David Rohrbach
6,Before CN Review,Accelerating Growth - High-Speed Internet in Mauritania,P158665,Kevin Croke,Yes,Non-i2i,,Transport & ICTs,,AFR,Mauritania,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEConnect;Digital Development,Digital Development,Transport,Jobs,No,No,,,,,Preparation for CN: up to CN review,,Yes,P155876,West Africa Regional Communications Infrastructure Project - SOP3,Arthur Foch
7,After IE results are available for discussion,Aceh Community Ranger Program IE,P146354,Audrey Sacks,No,i2i,,Ongoing,,EAP,Indonesia,No,No,Upper middle income,Sustainable Development,Environment,Environment & Natural Resources,"Social, Urban, Rural & Resilience",Climate Change;Fragility Conflict and Violence;Jobs,No,Yes,No,2/27/2015,6/27/2013,12/15/2015,Completed: there is a reviewed report on final results,,Yes,P125019,Aceh Community Ranger Program,Adrian Morel
8,Before CN Review,Agribusiness Trade Competitiveness,Z8gB82O,Ana Margarida Fernandes,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,EAP,Philippines,No,No,Lower middle income,Equitable Growth Finance and Institutions,Rural Development;FPD;FPD,"Macroeconomics, Trade & Investment",,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P587207,Philippines Agri Trade,"Roberto Martin Nolan Galang, Georgiana Pop"
9,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Argentina Solar Home Systems and Tariff Impact Evaluation,P155233,"Arndt Reichert,  Arndt Reichert, Aidan Coville",Yes,Non-i2i,,Energy and Environment,,LCR,Argentina,No,No,Upper middle income,Sustainable Development,Energy,Energy,,Climate Change;Gender,Yes,No,,11/23/2015,10/15/2014,12/20/2019,Preparation for baseline / intervention: between CN review and baseline,,Yes,P133288,Argentina Renewable Energy Project for Rural Areas,Lucia Spinelli
10,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Attracting & deploying talent to reform civil service in DRC,P152612,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,AFR,"Congo, Dem. Rep.",Yes,Yes,Low income,Human Development,IEGovern;E4Peace,Governance,Governance,Fragility Conflict and Violence,No,Yes,Yes,11/8/2017,8/13/2014,4/2/2021,Baseline: in the field or completed baseline,,Yes,P122229,Public Service Reform and Rejuvenation Project,Mamadou Lamarane Deme
11,Before CN Review,Bahia Rural Development and Access to Markets project,P132069c,Florence Kondylis,Yes,Non-i2i,No,,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,Rural Development,Agriculture,,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P147154,Bahia Sustainable Rural Development Project,Maria de Fatima de Sousa Amazonas
13,Before CN Review,Breaking the  Cycle Between Low Productivity and High Crime & Violence: Skills for Youth,rnd51kR,Marcus Holmlund,Yes,Non-i2i,,Trade & Competitiveness / Finance & Markets,,LCR,El Salvador,No,No,Lower middle income,Equitable Growth Finance and Institutions,E4Peace;SPJ,Social Protection,"Social, Urban, Rural & Resilience",Fragility Conflict and Violence;Jobs,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P156454,Youth Employment and Employability Project,"Gaston Mariano Blanco, Nancy Rocio Banegas Raudales"
15,After IE results are available for discussion,CRSD Vietnam - Evaluation of Fisheries Co-management,P146038,Vincenzo Di Maro,Yes,i2i,,Ongoing,,EAP,Vietnam,No,No,Lower middle income,Sustainable Development,Environment,Environment & Natural Resources,Governance,Not Applicable,No,No,Yes,5/30/2014,10/1/2012,6/30/2019,Completed: there is a reviewed report on final results,,Yes,P118979,Coastal Resources for Sustainable Development,Binh Cao
16,Before CN Review,Can Planning and Auditing Keep Medication in Stock?,P158914,Jürgen Rene Blum,No,Non-i2i,,Governance,,AFR,Eswatini,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P152528,Swaziland Improving Public Sector Performance,Barbara Kasura Magezi Ndamira
17,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Carrots or Sticks: The Impact of Incentives and Monitoring on the Performance of Public Extension Staff,P157604,Ghazala Mansuri,No,i2i,,Governance,,SAR,Pakistan,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,Poverty,"Agriculture;Governance;Social Protection;Social, Urban, Rural & Resilience",Gender,Yes,No,Yes,11/3/2016,12/1/2016,12/29/2020,Intervention: ongoing treatment implementation,,Yes,P132234,Punjab Public Sector Reform Program,Clelia Kalliopi Helena Rontoyanni
18,After IE results are available for discussion,Ceara Rural Development and Access to Markets project,P132069a,Florence Kondylis,Yes,i2i,,Ongoing,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,Rural Development,Agriculture,,Not Applicable,No,No,Yes,1/17/2012,1/1/2011,3/31/2019,Completed: there is a reviewed report on final results,,Yes,P121167,Ceara Rural Sustainable Development and Competitiveness,Barbara Farinelli
22,After IE results are available for discussion,Complementarities of Irrigation and Extension Services,P154309,Paul Christian,Yes,i2i,,Agriculture,,SAR,Nepal,No,Yes,Lower middle income,Human Development,Rural Development,Water,Agriculture,Climate Change,No,No,Yes,3/31/2016,6/9/2014,6/15/2020,Completed: there is a reviewed report on final results,,Yes,P118179,NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 1,shyam kc
23,After IE results are available for discussion,Cote d'Ivoire Public Works IE,P150249a,Patrick Premand,Yes,i2i,,Ongoing,,AFR,Cote d'Ivoire,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,SPJ;E4Peace,Social Protection,"Education;Poverty;Social, Urban, Rural & Resilience;Jobs & Development",Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,Yes,4/16/2014,1/31/2013,3/31/2017,Working Paper: there is a finished working paper,,Yes,P122546,Cote d'Ivoire Emergency Youth Employment and Skills Development project (PEJEDEC),Hamoud Wedoud Abdel Kamil
24,After IE results are available for discussion,Countering Coercion and Collusion: E-procurement in Bangladesh _a,P156394a,Jürgen Rene Blum,No,i2i,,Governance,,SAR,Bangladesh,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,,Not Applicable,No,No,Yes,5/15/2018,6/19/2015,4/30/2021,Completed: final output under preparation,,Yes,P098146,Public Procurement Reform Project II,Zafrul Islam
26,After IE results are available for discussion,DIME RWA Irrigation,P154433,"John Loeser, Maria Jones",Yes,i2i,,Agriculture,,AFR,Rwanda,No,Yes,Low income,Sustainable Development,Rural Development,Agriculture,"Social, Urban, Rural & Resilience;Water",Climate Change,No,No,No,5/25/2016,6/20/2014,6/30/2020,Working Paper: there is a finished working paper,,Yes,P124785,LWH,Winston Dawes
27,After IE results are available for discussion,DIME-WaSSIP Impact Evaluation - Nairobi,P144115,Aidan Coville,Yes,i2i,,Ongoing,,AFR,Kenya,No,Yes,Lower middle income,Sustainable Development,Water,Water,"Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,6/13/2013,5/1/2013,1/31/2020,Completed: final output under preparation,,Yes,P126637,Water and Sanitation Service Improvement Project - Additional Financing,Andreas Rohde
30,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,DR Female Biz and Worker training,P150888,Xavier Gine,No,i2i,,Ongoing,,LCR,Dominican Republic,No,No,Upper middle income,Equitable Growth Finance and Institutions,Gender & GBV;FPD;FPD;SPJ;FPD;Education;FPD,Poverty,Social Protection,Gender;Jobs,Yes,No,No,6/2/2014,1/1/2013,3/31/2019,Analysis: conducting data analysis,,Yes,P147213,INTEGRATED SOCIAL PROTECTION AND PROMOTION,Carine Clert
33,After IE results are available for discussion,Delivering HIV/AIDS Life-Skill the traditional way and through peers,P111684a,"  Arianna Legovini,  Victor Orozco, Arianna Legovini, Victor Orozco",Yes,Non-i2i,No,,,AFR,Benin,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",,Gender,Yes,No,No,1/9/2012,1/14/2011,6/20/2018,Completed: final output under preparation,,Yes,P096056,Second Multispectral HIV/AIDS Control Project,Christophe Lemiere
35,After IE results are available for discussion,Do public health interventions crowd out private health investments? Malaria Control Policies in Eritrea,P111233,Arianna Legovini,Yes,Non-i2i,No,,,AFR,Eritrea,Yes,Yes,Low income,Human Development,Health,"Health, Nutrition & Population",,Not Applicable,No,Yes,Yes,6/14/2009,2/28/2008,10/29/2012,Working Paper: there is a finished working paper,,Yes,P111010,Capacity building for evidence-based policy making in the health sector,Rianna L. Mohammed-Roberts
38,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Effects of a risk based inspections system on business safety conditions,WFK1INI,Ana Goicoechea,No,i2i,,Trade & Competitiveness / Finance & Markets,,LCR,Peru,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation",Governance,Not Applicable,No,No,Yes,4/26/2016,4/30/2015,6/30/2022,Preparation for baseline / intervention: between CN review and baseline,,Yes,IFC 600550,IFC Peru Inspections project (ID 600550),Ernesto Franco-Temple
40,After IE results are available for discussion,Enlisting community volunteers and patent medicine vendors in the fight against malaria,P105846,Marcus Holmlund,Yes,Non-i2i,No,,,AFR,Nigeria,Yes,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",Jobs & Development,Not Applicable,No,Yes,Yes,9/30/2007,5/31/2007,3/31/2017,Completed: final output under preparation,,Yes,P115036,Malaria Control Booster Project - Additional Financing,Noel Chisaka
41,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Ethiopia Expressway,P160197a,Alice Duhaut,Yes,i2i,,Transport & ICTs,,AFR,Ethiopia,No,Yes,Low income,Sustainable Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Gender;Jobs,Yes,No,Yes,1/15/2018,6/30/2016,6/30/2021,Intervention: ongoing treatment implementation,,Yes,P148850,Ethiopia- Expressway Development Support Project,Tesfamichael Nahusenay Mitiku
42,After IE results are available for discussion,Evaluating ECED Services,P148270,Amer Hasan,No,i2i,,Ongoing,,EAP,Indonesia,No,No,Upper middle income,Human Development,Education,Education,Jobs & Development,Not Applicable,No,No,No,6/3/2008,3/1/2009,8/1/2013,Completed: there is a reviewed report on final results,,Yes,P089479,Early Childhood Education and Development Project,Rosfita Roesli
43,After IE results are available for discussion,Evaluating Efficient ways to Promote Sustainable Land and Water Management and Payments for Ecosystem Services in Ghana,P155244,Paul Christian,Yes,i2i,,Energy and Environment,,AFR,Ghana,No,Yes,Lower middle income,Sustainable Development,Environment;Rural Development,Environment & Natural Resources,Agriculture,Climate Change,No,No,Yes,4/22/2016,6/1/2015,5/28/2021,Completed: there is a reviewed report on final results,,Yes,P098538,Sustainable Land and Water Managment Project,Neeta Hooda
44,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Evaluating procurement reforms in the State of Amazonas and Manaus,P156357,Laura De Castro Zoratto,No,Non-i2i,,Governance,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,"Macroeconomics, Trade & Investment",Not Applicable,No,No,Yes,3/17/2016,6/30/2015,1/31/2019,Intervention: ongoing treatment implementation,,Yes,P153203,Manaus Service Delivery & Fiscal Management,Laura Zoratto
45,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Evaluating the Impact of Community Monitoring for Health and Education Services in Burkina Faso,P146952,Vincenzo Di Maro,Yes,Non-i2i,No,,,AFR,Burkina Faso,No,Yes,Low income,Human Development,IEGovern,Governance,Digital Development;Governance,Not Applicable,No,No,No,3/11/2011,3/11/2011,12/31/2016,Analysis: conducting data analysis,,Yes,P121714,Burkina Faso: Community Monitoring for Service Delivery,Serdar Yilmaz
47,After IE results are available for discussion,Evaluation of Agricultural and Food Security Project (AFSP),P144022,Paul Christian,Yes,i2i,,Ongoing,,SAR,Nepal,No,Yes,Lower middle income,Human Development,GAFSP;Rural Development,Agriculture,"Health, Nutrition & Population",Gender,Yes,No,Yes,10/15/2013,4/1/2012,12/20/2017,Completed: there is a reviewed report on final results,,Yes,P128905,Agriculture and Food Security Project,Omar Lyasse
48,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Evaluation of PPAF Partner Organizations: NRSP and MRDO [Using Inclusion and Governance Mandates to Increase Accountability in Participatory Development],P159387,Xavier Gine,No,i2i,,Ongoing,,SAR,Pakistan,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,"Finance, Competitiveness & Innovation",Gender,Yes,No,No,2/26/2010,10/25/2010,12/31/2021,Analysis: conducting data analysis,,Yes,P105075,PPAF III,Imtiaz Alvi
49,After IE results are available for discussion,Evaluation of the Maputo Infrastructure Corridor,lu5hvsz,Arianna Legovini,Yes,Non-i2i,No,,,AFR,Mozambique,Yes,Yes,Low income,Sustainable Development,URS & URL,Transport,,Not Applicable,No,Yes,,,1/7/2006,1/6/2010,Completed: there is a reviewed report on final results,,Yes,P083325,Mozambique - Roads and Bridges Management and Maintenance Program - Phase II,Kulwinder Singh Rao
50,After IE results are available for discussion,Evaluation of the Women's Development Initiatives Project (WDIP),P106234,Arianna Legovini,Yes,Non-i2i,No,,,AFR,Ethiopia,No,Yes,Low income,Human Development,Gender & GBV,Social Protection,Jobs & Development,Gender,Yes,No,No,7/2/2007,1/4/2004,2/29/2008,Completed: there is a reviewed report on final results,,Yes,P050342,Women Development Initiatives,Endashaw Tadesse Gossa
51,After IE results are available for discussion,Experimental Evidence on Urban Transport and Mobility: Impact Evaluation of the Dar es Salaam BRT System,P158912a,"Sveta Milusheva,  Hee Kwon Seo, Hee Kwon Seo",Yes,i2i,,Transport & ICTs,,AFR,Tanzania,No,Yes,Lower middle income,Sustainable Development,IEConnect,Transport,"Macroeconomics, Trade & Investment;Social, Urban, Rural & Resilience",Jobs,No,No,Yes,6/24/2016,6/22/2015,1/31/2021,Working Paper: there is a finished working paper,,Yes,P150937,Dar es Salaam Urban Transport Improvement Project,Yonas Eliesikia Mchomvu
53,Before CN Review,Fighting Irregularities in HR - Public Sector Reform in Guinea,P152614,Jürgen Rene Blum,No,Non-i2i,,"Fragility, Conflict, & Violence",,AFR,Guinea,No,Yes,Low income,Equitable Growth Finance and Institutions,IEGovern,Governance,"Finance, Competitiveness & Innovation",Fragility Conflict and Violence,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P125890,EGTACB/SPF,Robert Yungu/Shiho Nagaki
55,After IE results are available for discussion,Fostering Long-term Savings,P158551,"Florentina Mulaj,   Siegfried Zottel, Siegfried Zottel",No,i2i,,Trade & Competitiveness / Finance & Markets,,AFR,Zambia,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation","Finance, Competitiveness & Innovation",Not Applicable,No,No,Yes,11/9/2016,11/9/2016,12/18/2020,Completed: there is a reviewed report on final results,,Yes,P156680,Zambia Programmatic Financial Inclusion Support Framework,Siegfried Zottel and Uzma Khalil
56,After IE results are available for discussion,From Workfare to Well-being: A randomized Evaluation of the Effects of Labor-Intensive Public Works on the Urban Poor in Eastern DRC,P152613a,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,AFR,"Congo, Dem. Rep.",Yes,Yes,Low income,Human Development,E4Peace,Social Protection,"Jobs & Development;Macroeconomics, Trade & Investment;Poverty",Fragility Conflict and Violence,Yes,Yes,Yes,6/1/2015,3/1/2015,12/31/2019,Completed: final output under preparation,,Yes,P145196,Eastern Recovery Project,Samantha de Silva
57,After IE results are available for discussion,Rio de Janeiro gender segregated public transport,P168717,Florence Kondylis,Yes,i2i,,"Fragility, Conflict, & Violence",,LCR,Brazil,No,No,Upper middle income,Human Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Fragility Conflict and Violence;Gender,Yes,Yes,Yes,9/15/2017,6/30/2015,3/30/2018,Completed: final output under preparation,,Yes,P147695,Enhancing Public Management for Service Delivery,Daniel Pulido
58,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Georgia: Internet for firm innovation,ThZWZv2a,Aidan Coville,Yes,i2i,,Trade & Competitiveness / Finance & Markets,,ECA,Georgia,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD;Digital Development;FPD,"Finance, Competitiveness & Innovation",Digital Development,Jobs,No,No,Yes,3/15/2017,5/15/2015,11/30/2021,Intervention: ongoing treatment implementation,,Yes,P152441,Georgia National Innovation Ecosystem (GENIE),Siddhartha Raja
60,After IE results are available for discussion,Group Interventions for Agricultural Transformation in Mozambique,P154165,"Astrid Zwager, Florence Kondylis, Paul Christian",Yes,i2i,,Agriculture,,AFR,Mozambique,Yes,Yes,Low income,Human Development,Rural Development,Agriculture,Water,Climate Change;Gender,Yes,Yes,Yes,9/30/2015,7/1/2014,6/30/2019,Working Paper: there is a finished working paper,,Yes,P107598,MZ-PROIRRI Sustainable Irrigation Devt,Aniceto Bila
61,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,How effective is matching grant in promoting export competitiveness,P158446,Aminur Rahman,No,i2i,,Trade & Competitiveness / Finance & Markets,,MNA,Tunisia,No,No,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation","Finance, Competitiveness & Innovation",Not Applicable,No,No,Yes,11/29/2018,8/8/2018,12/23/2021,Follow-up: in the field or completed follow-up,1,Yes,P132381,Third Export Development Project (EDP III),"Lorenzo Bertolini, Mariem Malouche, Jade Salhab"
66,Before CN Review,DIME_ Transport&ICT_CN_ Urban Transport Tianjin IE,P159622,Vincenzo Di Maro,Yes,Non-i2i,,Transport & ICTs,,EAP,China,No,No,Upper middle income,Sustainable Development,IEConnect,Transport,"Social, Urban, Rural & Resilience",Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P148129,Tianjin Urban Transport Improvement Project,Gerald Paul Ollivier
68,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Municipal performance scorecards in Burkina Faso,P145211,Marcus Holmlund,Yes,i2i,,Ongoing,,AFR,Burkina Faso,No,Yes,Low income,Equitable Growth Finance and Institutions,IEGovern;E4Peace,Governance,"Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,10/31/2013,6/1/2013,10/30/2021,Analysis: conducting data analysis,,Yes,P120517,Local Government Support Project,Ousmane Maurice Megnan Kolie
70,Before CN Review,IE of Forests and Communities Project,P156107," Marcus Holmlund, Marcus Holmlund, Florence Kondylis",Yes,Non-i2i,,Energy and Environment,,LCR,Argentina,No,No,Upper middle income,Sustainable Development,Environment,Environment & Natural Resources,,Climate Change,No,No,,,,,Preparation for CN: up to CN review,,Yes,P132846,Forests and Community Project,Peter Jipp
71,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,IE of Life Skills for In-School Youth in Nyanza province,P149162,Victor Orozco,Yes,Non-i2i,,Ongoing,,AFR,Kenya,No,Yes,Lower middle income,Human Development,Education,"Health, Nutrition & Population",,Gender,Yes,No,,12/31/2013,3/1/2011,6/30/2017,Intervention: ongoing treatment implementation,,Yes,P081712,Total War Against HIV and AIDS (TOWA) Project,Wachuka W. Ikua
72,After IE results are available for discussion,Group incentives for the public good: a field experiment on improving the URS/URL environment,P145184,Marcus Holmlund,Yes,i2i,,Ongoing,,AFR,Senegal,No,Yes,Lower middle income,Sustainable Development,Environment;URS & URL,"Social, Urban, Rural & Resilience",Environment & Natural Resources;Social Protection;Water,Not Applicable,No,No,Yes,11/19/2013,5/1/2012,7/27/2017,Working Paper: there is a finished working paper,,Yes,P122841,Stormwater Mgt. and Climate Change Adaptation Project,Isabelle Celine Kane
73,After IE results are available for discussion,IE of Urban Local Government Strengthening Program,P151768,Vincenzo Di Maro,Yes,i2i,,Ongoing,,AFR,Tanzania,No,Yes,Lower middle income,Human Development,IEGovern,Governance,Poverty,Not Applicable,No,No,Yes,4/30/2014,6/1/2013,6/30/2019,Completed: final output under preparation,,Yes,P118152,Urban Local Government Strengthening Program,Andre Bald
77,After IE results are available for discussion,Impact Assessment of Financial Literacy,P131233,Vincenzo Di Maro,Yes,i2i,,Ongoing,,AFR,Nigeria,Yes,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation",Education,Not Applicable,No,Yes,Yes,1/10/2012,9/1/2011,6/30/2019,Completed: there is a reviewed report on final results,,Yes,P083082,Micro; Small and Medium Enterprise Project,Ismail Radwan (closed)
78,After IE results are available for discussion,Impact Evaluation of Cambodia's Social Accountability for Improved Service Delivery Project,P156491,Kamakshi Mubarak,No,i2i,,Governance,,EAP,Cambodia,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,"Social, Urban, Rural & Resilience",Governance,Not Applicable,No,No,Yes,3/7/2017,2/1/2017,5/29/2020,Completed: there is a reviewed report on final results,,Yes,P146160,Voice and Action: Social Accountability for Improved Service Delivery,Erik Caldwell Johnson
79,After IE results are available for discussion,Impact Evaluation of Cambodia's Livelihood Enhancement & Association of the Poor (LEAP) in Siem Reap,y6hrlpg,Marcus Holmlund,Yes,Non-i2i,No,,,EAP,Cambodia,No,Yes,Lower middle income,Human Development,URS & URL,Agriculture,"Social, Urban, Rural & Resilience",Gender,Yes,No,No,,1/6/2010,7/1/2015,Working Paper: there is a finished working paper,,Yes,P097082,Livelihood Enhancement & Asso. of the Poor (LEAP) Project in Siem Reap,Mudita Chamroeun
81,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact Evaluation of Health Systems Strengthening,P151684,Edit Velenyi,No,Non-i2i,No,,,AFR,Ghana,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",Poverty,Gender,Yes,No,,2/13/2015,12/3/2012,6/5/2019,,,Yes,P145792,Maternal and Child Health and Nutrition Improvement Project,Francisca Ayodeji Akala
82,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact Evaluation of Rwanda Rural Feeder Roads,P144873a,"John Loeser, Maria Jones",Yes,i2i,,Agriculture,,AFR,Rwanda,No,Yes,Low income,Sustainable Development,IEConnect;Rural Development,Transport,"Agriculture;Social, Urban, Rural & Resilience",Jobs,No,No,Yes,10/28/2015,3/13/2013,6/30/2021,Follow-up: in the field or completed follow-up,3,Yes,P126498,Rwanda Feeder Roads Development Project,Emmanuel Taban
83,After IE results are available for discussion,Impact Evaluation of Scaling Up Handwashing & Sanitation Behavior Project in rural Tanzania,P129998,Aidan Coville,Yes,i2i,,Dissemination,,AFR,Tanzania,No,Yes,Lower middle income,Human Development,Water,Water,"Health, Nutrition & Population",Not Applicable,No,No,No,3/8/2011,3/8/2009,2/27/2015,Completed: there is a reviewed report on final results,,Yes,P104928,HW - Maj. Act. 3: Impact and Sustainability,Eduardo A. Perez
