unique_id,phase,ietitle,iecode,TTL,TTL_dime,i2i_type,prev_i2i,i2i_call,Unit,region,country,fcs_country,ida_country,income_country,wb_network,program,GP,theme,CCSA,Gender,sectorFCS,cn_yes,CN_rev_date,ie_start_date,ie_end_date,status,status_followup_no,WBG_proj_associated,ProjectId,WBG_proj_name,WBG_proj_TTL_name
86,After IE results are available for discussion,Impact Evaluation of the Andhra Pradesh Rural Poverty Reduction Project,P121436,Parmesh Shah,No,i2i,,Dissemination,,SAR,India,No,No,Lower middle income,Human Development,Rural Development,Agriculture,"Social, Urban, Rural & Resilience",Gender,Yes,No,No,5/3/2013,5/3/2013,5/15/2015,Working Paper: there is a finished working paper,,Yes,P071272,Andhra Pradesh Rural Poverty Reduction Project,Parmesh Shah
87,After IE results are available for discussion,Impact Evaluation of the Angola Local Development Project,P147411,Vincenzo Di Maro,Yes,i2i,,Ongoing,,AFR,Angola,No,No,Lower middle income,Human Development,IEGovern,Social Protection,Education;Governance,Not Applicable,No,No,Yes,4/30/2014,6/1/2010,6/30/2019,Completed: there is a reviewed report on final results,,Yes,P105101,Local Development Project,Eric Zapatero
88,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Kenya: Impact Evaluation of the Judicial Performance Improvement Project,P151359," Vincenzo Di Maro, Nicholas Menzies, Vincenzo Di Maro",Yes,i2i,,Ongoing,,AFR,Kenya,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern;Justice,Governance,"Finance, Competitiveness & Innovation",Not Applicable,No,No,Yes,7/18/2018,7/1/2016,7/1/2021,Intervention: ongoing treatment implementation,,Yes,P105269,Judicial Performance Improvement Project,Nicholas Menzies and George Larbi
89,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Impact Evaluation of the Peru Support of the Subnational Transport Program Project,P158917,Javier Morales Sarriera,No,i2i,,Transport & ICTs,,LCR,Peru,No,No,Upper middle income,Sustainable Development,IEConnect,Transport,"Agriculture;Poverty;Social, Urban, Rural & Resilience",Gender;Jobs,Yes,No,Yes,11/17/2016,6/15/2015,6/30/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P132515,Support to the Subnational Transport Program Project,Li Qu
90,Before CN Review,Impact Evaluation of the Second Agricultural Sector Development Project (ASDP II),P154407,Florence Kondylis,Yes,Non-i2i,,Agriculture,,AFR,Tanzania,No,Yes,Lower middle income,Human Development,Rural Development,Agriculture,,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P129473,Agricultural Sector Dev Project II,"Abel Lufafa, Pieter Waalewijn"
94,After IE results are available for discussion,Impact evaluation of Community Infrastructure Upgrading,5jmgehq,Arianna Legovini,Yes,Non-i2i,No,,,AFR,Tanzania,No,Yes,Lower middle income,Sustainable Development,URS & URL,"Social, Urban, Rural & Resilience",Environment & Natural Resources,Not Applicable,No,No,No,4/13/2005,1/7/2005,1/6/2013,Completed: there is a reviewed report on final results,,Yes,P070736,Local Government Support Project,Andre A. Bald
95,After IE results are available for discussion,Impact of Conflict and Post-testing clubs for HIV negatives,P111684c,"  Arianna Legovini,  Victor Orozco, Arianna Legovini, Victor Orozco",Yes,Non-i2i,No,,,AFR,Cote d'Ivoire,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",,Fragility Conflict and Violence;Gender,Yes,Yes,No,1/10/2011,8/13/2010,11/1/2018,Working Paper: there is a finished working paper,,Yes,P071631,Emergency Multi-Sector HIV/AIDS Project,Ibrahim Magazi
96,Before CN Review,"Impact of Land Registration on Land Values, Investment, and Factor Market Performance",P154664,Klaus Deininger,No,Non-i2i,,Agriculture,,ECA,Georgia,No,No,Upper middle income,Sustainable Development,Rural Development,"Social, Urban, Rural & Resilience",,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P133828,Irrigation and land market development,Peter Goodman
97,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Impact of Legal Aid on Poor Women,P151801,Paul Scott Prettitore,No,Non-i2i,,Ongoing,,MNA,Jordan,No,No,Upper middle income,Human Development,IEGovern,Governance,,Gender,Yes,No,,7/31/2014,1/1/2014,6/30/2017,Preparation for baseline / intervention: between CN review and baseline,,Yes,P128689,Enhancing Community-Driven Legal Aid Services to the Poor,Paul Prettitore
98,Before CN Review,Impact of a vocational training program with High School Students,rjyvqsk,Caio Piza,Yes,Non-i2i,No,,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD;Education;FPD,"Macroeconomics, Trade & Investment",,Gender;Jobs,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P127463,"Strengthen Service Delivery For Growth, Poverty Reduction and Environmental Sustainability in the State of Cearo",Thomas Kenyon
99,After IE results are available for discussion,Improving Citizen Access to Basic Services,P157516,Daniel Rogger,Yes,i2i,,Governance,,SAR,India,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEGovern;Bureaucracy,Governance,"Social, Urban, Rural & Resilience",Gender,Yes,No,No,9/7/2017,1/1/2017,11/30/2018,Completed: there is a reviewed report on final results,,Yes,P149182,Citizen Access to Responsive Services in MP,Ana Bellver Vazquez-Dodero
100,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Improving bureaucratic information in the civil service of Pakistan _a,P156374a,Daniel Rogger,Yes,Non-i2i,,Governance,,SAR,Pakistan,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern;Bureaucracy,Governance,,Fragility Conflict and Violence,No,Yes,,11/30/2016,2/25/2015,1/30/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P145617,Sindh Public Sector Management Reform Project,Charles Blanco
102,Before CN Review,Incentivizing sustainable livestock practices in China's grasslands regions,P155237,Aidan Coville,Yes,i2i,,Energy and Environment,,EAP,China,No,No,Upper middle income,Sustainable Development,Environment,Environment & Natural Resources,Agriculture,Climate Change,No,No,,,,,Preparation for CN: up to CN review,,Yes,P151282,Climate Smart Grassland Ecological Construction Project,Jiang Ru
103,Before CN Review,Increasing the Evidence of the Impact of Third-Party Procurement Oversight,P146498,Jürgen Rene Blum,No,Non-i2i,,Governance,,EAP,Philippines,No,No,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,Governance,Agriculture,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P132317,Philippines Rural Development Program (RDP),Frauke Jungbluth
104,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Increasing the Returns to Irrigation Investments for Smallholder Farmers in Kenya,P145556,"Guigonan Serge Adjognon,  Regassa Ensermu Namara, Regassa Ensermu Namara",Yes,i2i,,Agriculture,,AFR,Kenya,No,Yes,Lower middle income,Human Development,Rural Development,Water,Agriculture;Environment & Natural Resources,Climate Change;Gender;Jobs,Yes,No,,6/1/2015,6/26/2015,6/30/2021,Preparation for baseline / intervention: between CN review and baseline,,Yes,P117635,Kenya Water Security and Climate Resilience Project,"Xiaokai Li, Eileen Rose Burke"
107,After IE results are available for discussion,Integrated Agriculture Development Project,P131073," Maria Jones, Maria Jones, Florence Kondylis",Yes,i2i,,Ongoing,,SAR,Bangladesh,No,No,Lower middle income,Human Development,GAFSP;Rural Development,Agriculture,"Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,9/30/2012,9/1/2011,1/1/2017,Completed: there is a reviewed report on final results,,Yes,P123457,Bangladesh Integrated Agricultural Productivity Project,Edward C. Cook
108,After IE results are available for discussion,International Interventions to Build Social Capital: Evidence from a Field Experiment in Sudan,pvltb4y,Marcus Holmlund,Yes,Non-i2i,No,,,AFR,Sudan,Yes,Yes,Low income,Human Development,URS & URL;E4Peace,Social Protection,"Social, Urban, Rural & Resilience",Fragility Conflict and Violence,No,Yes,No,4/18/2011,6/1/2010,2/1/2014,Working Paper: there is a finished working paper,,Yes,P094476,Community Development Fund,Endashaw Tadesse Gossa
109,After IE results are available for discussion,Investment Readiness Impact Evaluation,P158222,David McKenzie,No,i2i,,Trade & Competitiveness / Finance & Markets,,ECA,Kosovo;North Macedonia;Serbia;Montenegro;Croatia,Yes,Yes,Upper middle income,Equitable Growth Finance and Institutions,FPD,"Finance, Competitiveness & Innovation","Macroeconomics, Trade & Investment",Not Applicable,No,Yes,No,12/22/2015,8/1/2015,12/1/2018,Working Paper: there is a finished working paper,,Yes,P153865,TA on VC Activity /Investment Readiness,Ana Paula Cusolito
110,After IE results are available for discussion,Kenya Patient Safety Impact Evaluation,P149879,Guadalupe Bedoya,Yes,i2i,,Ongoing,,AFR,Kenya,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",Governance,Not Applicable,No,No,Yes,4/1/2013,11/22/2012,6/1/2020,Completed: there is a reviewed report on final results,,Yes,P586467,Kenya Health in Africa,Racheal Njeri Mwaura
112,After IE results are available for discussion,LWH One Acre Fund,P131070c,"Florence Kondylis, Maria Jones",Yes,i2i,,Ongoing,,AFR,Rwanda,No,Yes,Low income,Human Development,Rural Development,Agriculture,Poverty,Gender,Yes,No,Yes,3/1/2013,6/1/2012,12/1/2016,Working Paper: there is a finished working paper,,Yes,P114931,Land Husbandry; Water Harvesting and Hillside Irrigation,Valens Mwumvaneza
116,Before CN Review,Experimental Evidence on Legal Aid and Socioeconomic Rehabilitation of Former Offenders,P156624,Bilal Siddiqi,No,Non-i2i,,Governance,,ECA,Kazakhstan,No,No,Upper middle income,Human Development,IEGovern;Justice,Governance,,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P143274,Justice Sector Institutional Strengthening Project,Amitabha Mukherjee
117,Before CN Review,Experimental Evidence on Delivering Legal Aid to Vulnerable Groups,P157089,Bilal Siddiqi,No,Non-i2i,,Governance,,ECA,Azerbaijan,No,No,Upper middle income,Human Development,IEGovern;Justice,Governance,,Gender,Yes,No,,,,,Preparation for CN: up to CN review,,Yes,P144700,Judicial Services and Smart Infrastructure Project,Amitabha Mukherjee
118,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Liberia Youth Opportunities Project,P152144,"Sarika Gupta,  Kathleen G. Beegle,   Laura Ralston,   Kathleen G. Beegle, Laura Ralston",No,i2i,,"Fragility, Conflict, & Violence",,AFR,Liberia,Yes,Yes,Low income,Equitable Growth Finance and Institutions,SPJ;E4Peace,Social Protection,"Finance, Competitiveness & Innovation;Poverty",Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,No,11/30/2016,9/30/2016,6/30/2021,Follow-up: in the field or completed follow-up,1,Yes,P146827,Youth Opportunities Project,Mack Mulbah
119,After IE results are available for discussion,Linking Farmers to Infrastructure: Impact Evaluation of Nigeria's Commercial Agriculture Development Project,P116604,Arianna Legovini,Yes,Non-i2i,No,,,AFR,Nigeria,Yes,Yes,Lower middle income,Human Development,Rural Development,Agriculture,,,No,Yes,,,1/4/2009,,Completed: final output under preparation,,Yes,P096648,Commercial Agriculture Development,Lucas Kolawole Akapa
123,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Measuring the effect of extrinsic  and intrinsic factors in improving performance in the public sector,P156013a,Daniel Rogger,Yes,i2i,,"Fragility, Conflict, & Violence",,AFR,Liberia,Yes,Yes,Low income,Equitable Growth Finance and Institutions,IEGovern;Bureaucracy,Governance,"Finance, Competitiveness & Innovation",Fragility Conflict and Violence,No,Yes,Yes,11/14/2018,6/1/2014,12/31/2021,Intervention: ongoing treatment implementation,,Yes,P143064,Liberia: Public Sector Modernization Project,Smile Kwawukume
124,Before CN Review,Mechanism for Investment Retention and Confidence,CPRK8iz,Ana Goicoechea,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,ECA,Georgia,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment",,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,IFC 599537,Georgia Investment Climate project (IFC-599537),Ekaterine Avaliani
125,Before CN Review,Mexico Competition Reforms,P158252,David McKenzie,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,LCR,Mexico,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment",,Not Applicable,No,No,,,,,Preparation for CN: up to CN review,,Yes,P147382,Competition reform in Tabasco State,Martha Licetti; Tanja Goodwin
126,After IE results are available for discussion,Mexico Payment for Environmental Services Scheme: A Retrospective Evaluation,P156100a,Victor Orozco,Yes,i2i,,Energy and Environment,,LCR,Mexico,No,No,Upper middle income,Sustainable Development,Environment,Environment & Natural Resources,,Climate Change,No,No,Yes,2/1/2016,10/27/2014,6/29/2018,Working Paper: there is a finished working paper,,Yes,P124988,MX Forest Inv Program,Carole Megevand
130,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),Moving Youth Out of the Market for Crime: Interventions in the Honduras Safer Municipalities Project,P152314,Marcus Holmlund,Yes,i2i,,"Fragility, Conflict, & Violence",,LCR,Honduras,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,SPJ;E4Peace,"Social, Urban, Rural & Resilience",Jobs & Development;Social Protection,Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,Yes,6/22/2015,3/27/2014,7/1/2022,Baseline: in the field or completed baseline,,Yes,P130819,HN Safer Municipalities,Chloe Fevre; Mariana Felicio
131,Before CN Review,Myanmar Investment Law,Qm5tr8m,Trang Tran,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,EAP,Myanmar,Yes,Yes,Lower middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment","Finance, Competitiveness & Innovation",Jobs,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,IFC00600309,Myanmar Investment Policy,
133,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Impact Evaluation of the rural Access and Mobility Project,p144852,Vincenzo Di Maro,Yes,i2i,,Ongoing,,AFR,Nigeria,Yes,Yes,Lower middle income,Human Development,IEConnect,Transport,Agriculture,Not Applicable,No,Yes,Yes,3/31/2014,1/1/2013,6/30/2020,Intervention: ongoing treatment implementation,,Yes,P095003,NG-RURAL ACCESS & MOBILITY PROJECT-Phase 2,Mohammed Dalil Esakali
138,After IE results are available for discussion,Protecting Early Childhood Development in Malawi (PECD),P159685,Berk Özler,No,i2i,,Ongoing,,AFR,Malawi,No,Yes,Low income,Human Development,Health,Education,"Health, Nutrition & Population",Gender,Yes,No,No,6/29/2010,9/1/2011,12/31/2018,Working Paper: there is a finished working paper,,Yes,P121496,Protecting Early Childhood Development in Malawi,Berk Ozler
140,After IE results are available for discussion,Public Works and Welfare: A Randomized Control Trial of the Emergency Employment and Investment Project in Egypt,P159877a,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,MNA,"Egypt, Arab Rep.",No,No,Lower middle income,Equitable Growth Finance and Institutions,E4Peace;SPJ,Social Protection,"Poverty;Social, Urban, Rural & Resilience",Fragility Conflict and Violence;Jobs,No,Yes,Yes,4/28/2017,9/1/2015,6/30/2020,Completed: there is a reviewed report on final results,,Yes,P146143,Emergency Employment Investment Project,Afrah Al-Ahmadi
141,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Punjab - IE on Rural WSS,P150578,Luis Andres,No,i2i,,Ongoing,,SAR,India,No,No,Lower middle income,Human Development,Rural Development,Water,"Social, Urban, Rural & Resilience",Not Applicable,No,No,,7/28/2014,6/2/2014,6/30/2021,Follow-up: in the field or completed follow-up,1,Yes,P150520,IN Punjab Rural Water Sector Imprv Project,"Podipireddy, Srinivasa Rao"
143,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Rebuilding Landscapes and Lives: Impact Evaluation of the Nigeria Erosion and Watershed Management Project,P145212,Vincenzo Di Maro,Yes,i2i,,Ongoing,,AFR,Nigeria,Yes,Yes,Lower middle income,Sustainable Development,Environment,Environment & Natural Resources,Governance,Climate Change,No,Yes,,1/27/2014,5/1/2012,9/1/2018,Intervention: ongoing treatment implementation,,Yes,P124905,Nigeria Erosion and Watershed Management Project,Amos Abu
144,After IE results are available for discussion,Reducing informality among firms in Minas Gerais,P121815,Miriam Bruhn,No,Non-i2i,No,,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment","Finance, Competitiveness & Innovation",Not Applicable,No,No,No,3/12/2012,1/2/2010,1/6/2013,Working Paper: there is a finished working paper,,Yes,P119215,Minas Gerais Partnership II SWAP AF,Roland N. Clarke
145,After IE results are available for discussion,Relieving Capital Constraints for Rice Farmers - Warehouse Receipts System,P158266,Guigonan Serge Adjognon,Yes,i2i,,Trade & Competitiveness / Finance & Markets,,AFR,Senegal,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,Rural Development,"Finance, Competitiveness & Innovation","Social, Urban, Rural & Resilience;Agriculture",Not Applicable,No,No,Yes,7/20/2017,6/22/2016,6/30/2019,Completed: there is a reviewed report on final results,,Yes,IFC00600203,Warehouse Receipts System Development in Senegal,David Ivanovic
150,After IE results are available for discussion,Sao Paulo Matching Grants IE,P132069d,Florence Kondylis,Yes,Non-i2i,No,,,LCR,Brazil,No,No,Upper middle income,Equitable Growth Finance and Institutions,FPD,Agriculture,"Finance, Competitiveness & Innovation",Not Applicable,No,No,Yes,1/1/2012,1/1/2010,9/29/2017,Completed: there is a reviewed report on final results,,Yes,P108443,Sao Paulo Sustainable Rural Development and Access to Markets,Maurizio Guadagni
151,After IE results are available for discussion,Seeing is believing? Evidence from a field experiment in rural Mozambique,P117433,Florence Kondylis,Yes,i2i,,Dissemination,,AFR,Mozambique,Yes,Yes,Low income,Human Development,Rural Development,Agriculture,Environment & Natural Resources,Climate Change;Gender,Yes,Yes,No,3/1/2011,3/1/2010,10/1/2014,Completed: there is a reviewed report on final results,,Yes,P093165,Market led Smallholder Development in the Zambezi Valley,Patrick Verissimo
152,After IE results are available for discussion,Senegal Behavior Change Campaign & Solar Lights Evaluation,P155241a,Aidan Coville,Yes,i2i,,Energy and Environment,,AFR,Senegal,No,Yes,Lower middle income,Sustainable Development,Energy,Energy,Environment & Natural Resources,Climate Change,No,No,Yes,12/1/2015,12/24/2014,12/29/2016,Working Paper: there is a finished working paper,,Yes,P146987,Lighting Africa,Jenny Maria Hasselsten
154,After IE results are available for discussion,Social Protection Governance and Fragility,P128432,Patrick Premand,Yes,i2i,,Ongoing,,AFR,Uganda,No,Yes,Low income,Equitable Growth Finance and Institutions,IEGovern,Social Protection,"Finance, Competitiveness & Innovation;Jobs & Development",Fragility Conflict and Violence,No,Yes,Yes,3/30/2013,11/30/2012,2/28/2017,Working Paper: there is a finished working paper,,Yes,P111633,Second Northern Uganda Social Action Fund (NUSAF2),Endashaw Tadesse
155,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,South Sudan Startup Business Grant IE,P151755,Utz Pape,No,Non-i2i,,Ongoing,,AFR,South Sudan,Yes,Yes,Low income,Equitable Growth Finance and Institutions,FPD,Social Protection,"Finance, Competitiveness & Innovation",Fragility Conflict and Violence,No,Yes,,8/18/2014,1/15/2015,6/30/2017,Intervention: ongoing treatment implementation,,Yes,P132934,The Private Sector and Job Creation,Yoko Doi
157,After IE results are available for discussion,Haiti Strengthening Agriculture Public Services II (RESEPAG II) and Women in Leadership of Small and Medium Enterprises (WLSME),P147142,Guigonan Serge Adjognon,Yes,i2i,,Ongoing,,LCR,Haiti,Yes,Yes,Low income,Human Development,GAFSP;Rural Development,Agriculture,Agriculture,Not Applicable,Yes,Yes,Yes,4/30/2014,4/1/2012,2/28/2021,Completed: final output under preparation,,Yes,P126744,Relaunching Agriculture: Strengthening Agriculture Public Services II Project (GAFSP - IDA),Soulemane Fofana
159,Before CN Review,Sustainable Coffee Landscape Project Impact Evaluation,P154426,Florence Kondylis,Yes,Non-i2i,,Agriculture,,AFR,Burundi,Yes,Yes,Low income,Sustainable Development,Environment;Rural Development,Environment & Natural Resources,,Climate Change,No,Yes,,,,,Preparation for CN: up to CN review,,Yes,P127258,Sustainable Coffee Landscape Project,Paola Agostini
161,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Targeting the Ultra-Poor in Afghanistan,P170296," Guadalupe Bedoya, Guadalupe Bedoya, Aidan Coville",Yes,i2i,,Ongoing,,SAR,Afghanistan,No,No,Low income,Human Development,E4Peace,"Finance, Competitiveness & Innovation",Jobs & Development,Fragility Conflict and Violence;Gender,Yes,Yes,Yes,7/14/2014,6/27/2014,11/30/2021,Follow-up: in the field or completed follow-up,2,Yes,P128048,Access to Finance in Afghanistan,Aminata Ndiaye
162,After IE results are available for discussion,Teaching farmers through social networks,0sqzgjk,"  Arianna Legovini,  Florence Kondylis, Arianna Legovini, Florence Kondylis",Yes,i2i,,Dissemination,,AFR,Malawi,No,Yes,Low income,Human Development,Rural Development,Agriculture,,Climate Change;Gender,Yes,No,No,10/5/2009,6/30/2009,12/1/2011,Working Paper: there is a finished working paper,,Yes,P105256,Malawi Agricultural Development Program Support Project,"Mwumvaneza, Valens"
163,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,Testing demand side incentives in the health sector,P145230b,Victor Orozco,Yes,Non-i2i,No,,,AFR,Senegal,No,Yes,Lower middle income,Human Development,Health,"Health, Nutrition & Population",Social Protection,Gender,Yes,No,Yes,9/8/2014,1/8/2013,1/6/2018,Intervention: ongoing treatment implementation,,Yes,P129472,Senegal Health & Social Financing,christophe lemiere
166,After IE results are available for discussion,The Direct and Indirect Effects of Public Works Programs: A Randomized Control Trial of a Cash-for-Work Program in the Comoros Island,P167655,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,AFR,Comoros,Yes,Yes,Lower middle income,Equitable Growth Finance and Institutions,E4Peace,Social Protection,"Jobs & Development;Macroeconomics, Trade & Investment;Poverty",Fragility Conflict and Violence;Gender;Jobs,Yes,Yes,Yes,6/30/2017,10/1/2015,9/30/2019,Completed: final output under preparation,,Yes,P150754,Comoros Social Safety Net Project,Andrea Vermehren
167,After baseline results are available for discussion (or after implementation starts if the IE has no baseline) but before IE results are available for discussion,The Impact of eVouchers and Extension on Input Uptake,P154408,Maria Jones,Yes,i2i,,Agriculture,,AFR,Uganda,No,Yes,Low income,Equitable Growth Finance and Institutions,Rural Development,Agriculture,"Social, Urban, Rural & Resilience",Not Applicable,No,No,Yes,9/13/2016,6/16/2014,12/30/2022,Intervention: ongoing treatment implementation,,Yes,P145037,Agriculture Cluster Development Project,Jeehye Kim and Joseph Oryokot
169,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),The Socio-Economic Impact of Improved Electricity,P155234,Arndt Reichert,No,i2i,,Energy and Environment,,SAR,Bangladesh,No,No,Lower middle income,Sustainable Development,Energy,Energy,Environment & Natural Resources,Jobs,No,No,Yes,3/29/2018,3/30/2018,11/27/2020,Preparation for baseline / intervention: between CN review and baseline,,Yes,P129920,Rural Electricity Transmission and Distribution Project,Zubair Sadeque
170,After IE results are available for discussion,"The Speed of Justice, 2013 reform",P122225a,Florence Kondylis,Yes,i2i,,Ongoing,,AFR,Senegal,No,Yes,Lower middle income,Equitable Growth Finance and Institutions,IEGovern,"Macroeconomics, Trade & Investment","Finance, Competitiveness & Innovation;Social Protection",Jobs,No,No,Yes,5/1/2013,6/1/2010,6/30/2018,Working Paper: there is a finished working paper,,Yes,P113801,SN - Economic Governance Project,Jean Michel Noel Marchat
173,After IE results are available for discussion,Tunisia Community Works and Local Participation (JSDF) Impact evaluation,P152615,Eric Mvukiyehe,Yes,i2i,,"Fragility, Conflict, & Violence",,MNA,Tunisia,No,No,Lower middle income,Equitable Growth Finance and Institutions,SPJ;E4Peace,Social Protection,"Social, Urban, Rural & Resilience",Fragility Conflict and Violence;Jobs,No,Yes,Yes,5/13/2015,3/1/2015,2/1/2017,Completed: there is a reviewed report on final results,,Yes,P128427,Community Works and Local Participation,"Diego Angel-Urdinola, Rene Antonio Leon Solano"
175,After IE results are available for discussion,Using social norm marketing campaigns to increase girls primary enrollment,P167771a,Victor Orozco,Yes,Non-i2i,No,,,AFR,Nigeria,Yes,Yes,Lower middle income,Human Development,Education;Edutainment;Gender & GBV,Education,Education,Gender,Yes,Yes,Yes,3/30/2018,1/31/2018,6/30/2021,Completed: final output under preparation,,Yes,P143842,NG Partnership for Education Project,Olatunde Adetoyese Adekola
176,After IE results are available for discussion,Vietnam Central Highlands Poverty Reduction Project: Impact Evaluation,P145059,Andrew Beath,No,i2i,,Ongoing,,EAP,Vietnam,No,No,Lower middle income,Human Development,URS & URL,"Social, Urban, Rural & Resilience",Poverty;Social Protection,Not Applicable,No,No,No,2/1/2014,1/1/2015,4/30/2020,Completed: there is a reviewed report on final results,,Yes,P128072,Central Highlands Poverty Reduction Project,Sean Bradley; Son Thanh Vo
177,After IE results are available for discussion,Vietnam Results-Based Rural Water Supply and Sanitation Under the National Target Program: Impact Evaluation,P149123,Quy-Toan Do,No,i2i,,Ongoing,,EAP,Vietnam,No,No,Lower middle income,Human Development,Water,Water,"Social, Urban, Rural & Resilience",Not Applicable,No,No,No,4/30/2014,4/30/2014,6/30/2019,Working Paper: there is a finished working paper,,Yes,P167715,Results-Based Rural Water Supply and Sanitation Under the National Target Program,Victor Vazquez
178,After CN Review but before baseline results are available for discussion (or before implementation starts if the IE has no baseline),e-PPD,1TN7EAa,Francisco Moraes Leitao Campos,No,Non-i2i,,Trade & Competitiveness / Finance & Markets,,AFR,Rwanda,No,Yes,Low income,Equitable Growth Finance and Institutions,FPD,"Macroeconomics, Trade & Investment",,Gender;Jobs,Yes,No,,6/6/2016,1/29/2016,2/28/2019,Preparation for baseline / intervention: between CN review and baseline,,Yes,P600783,Rwanda IC 3 A,Hamidou Sorgo
